issue_number,anchor_text,displayed_nearby_dates,child_url,seed_id,seed_archive_url,status,resolved_archive_url,title,site_date,author,source_text,body_issue_numbers,body_issue_confidence,encoding,media_urls,excerpt,attempt_count,errors
869,“绝地”求生（869期）,2009-6-23|2009-6-3|2009-5-26|2009-4-1|2009-3-29,http://www.qlsn.com/news_view.asp?id=193,2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND
870,恐龙故乡的科学探秘（870期）,2009-6-23|2009-6-3|2009-5-26|2009-4-1,http://www.qlsn.com/news_view.asp?id=194,2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND
872,山里娃有了新图书(872期),2009-6-23|2009-6-3,http://www.qlsn.com/news_view.asp?id=196,2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
873,33滴“净水剂”（873期）,2009-6-23,http://www.qlsn.com/news_view.asp?id=197,2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused>
895,叽叽喳喳“小八卦”（895期）,2009-12-14|2009-12-7|2009-11-30|2009-11-23|2009-10-29,http://www.qlsn.com/news_view.asp?id=220,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND
897,她的绰号“智能牛魔王”（897期）,2009-12-23|2009-12-14|2009-12-7|2009-11-30|2009-11-23,http://www.qlsn.com/news_view.asp?id=223,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused>
898,“国际儿童墙”上的山东女孩（898期）,2009-12-23|2009-12-14|2009-12-7|2009-11-30,http://www.qlsn.com/news_view.asp?id=224,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND
899,烦恼防火墙（899期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=831,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
899,小蜘蛛决战大苍蝇（899期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=832,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
899,别让爱太沉重（899期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=833,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
899,谢谢您，李老师（899期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=834,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND
899,种豆芽（899期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=835,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
899,贾雯晶的“特殊任务”（899期）,2009-12-23|2009-12-14|2009-12-7,http://www.qlsn.com/news_view.asp?id=225,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
900,队旗飘飘（900期）,2009-12-23,http://www.qlsn.com/article_view.asp?id=830,2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
