seed_id,seed_archive_url,seed_encoding,anchor_text,route_type,original_url,snapshot_timestamp,archive_url,digest,title,site_date,author,source_text,issue_number,encoding,identity_verified,metadata_excerpt,fetch_error
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,你知道1+1＞2吗,article,http://www.qlsn.com/article_view.asp?id=221,20070625133830,https://web.archive.org/web/20070625133830id_/http://www.qlsn.com:80/article_view.asp?id=221,XHUDRYZT3KFQMNTEZIN7S7YSXD3SDJAQ,网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 你知道1+1＞2吗,2007-1-18,齐鲁少年,齐鲁少年（745期） 小问兜的话：大家一定很想知道今天来的神秘嘉宾是谁吧？由于他送给大家的见面礼太需要精心准备了，所以推迟一期和大家见面。快点欢迎济宁市任城区实验小学的王兆勤老师吧。为什么说他神秘？因为他能教你学课文和学作文一举两得呀。好了,745,gb18030,yes,齐鲁少年 - 浏览文章 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 你知道1+1＞2吗 【日期】2007-1-18 【人气】135 【作者】齐鲁少年 【来源】齐鲁少年（745期） 小问兜的话：大家一定很想知道今天来的神秘嘉宾是谁吧？由于他送给大家的见面礼太需要精心准备了，所以推迟一期和大家见面。快点欢迎济宁市任城区实验小学的王兆勤老师吧。为什么说他神秘？因为他能教你学课文和学作文一举两得呀。好了，还是赶快来听听王老师的“写作秘笈”吧！ 课本=优秀作文选 我们都知道“读书破万卷，下笔如有神”，说的是读书和作文的关系很密切。书读得多，读得好，写起文章来自然得心应手。这条宝贵的学习经验，对一些认为作文难写，对写作文不感兴趣的同学，是一剂对症的良药。即使对作文很感兴趣，成绩不错的同学，也会有很大的启发哦！ 好书能塑造一个人选书好比选朋友，无益的书也会逐渐让人变得平庸。在这里向大家强烈推荐对你有用的书：课本。如果能把读课文当成是在读一本经典作文选，心理上学习的压力也会减轻了呢！ 入选语文课本的文章，每一篇都是内容健康、语言优美、表现得法的优秀“作文”。这些文章，体裁多样，程度适当，能够全面地体现我们应当掌握的作文基础知识和基本技能。其中的“习作例文”，应当是我们写作文时的参照；“读写例话”则深入浅出地告诉我们系统的读写知识；还有“基础训练”中的许多习题。不但指导我们应当写些什么，还把学习方法渗透在中间，让我们去体会琢磨。如果不重视或不懂得利用语文课文去多方面地学习作文，提高自己的习作能力，那实在是太可惜了！ 模仿：打好基本功 我们都知道，“模仿”是一种重要的学习方法，习字要临帖，画画要临摹，作文,
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,探源村名文化,news,http://www.qlsn.com/news_view.asp?id=89,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,高青县樊林小学,news,http://www.qlsn.com/news_view.asp?id=90,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,沟通让爱的心靠得更近,news,http://www.qlsn.com/news_view.asp?id=91,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,手拉手 共进步,news,http://www.qlsn.com/news_view.asp?id=92,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,我的队报我作主，选出你最喜爱的报标！,news,http://www.qlsn.com/news_view.asp?id=94,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=188,,,,,,,,,,,,TimeoutError: The read operation timed out
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=189,,,,,,,,,,,,
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=190,,,,,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=191,,,,,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
