seed_id,seed_archive_url,encoding,issue_number,anchor_text,child_url,nearby_dates,context
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,858,征文启事（858期）,http://www.qlsn.com/announce_view.asp?id=185,2009-12-7|2009-10-29|2009-9-7|2009-4-1|2009-3-29,(2009-12-7) 你说我说大家说11月话... 你说我说大家说11月话... (2009-10-29) 中国少年先锋队建队60... 中国少年先锋队建队60... (2009-9-7) 征文启事（858期） [LINK] 征文启事（858期） (2009-4-1) 本期话题讨论 本期话题讨论 (2009-3-29) 当前在线： 4 人 最高记录：
2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,869,“绝地”求生（869期）,http://www.qlsn.com/news_view.asp?id=193,2009-6-23|2009-6-3|2009-5-26|2009-4-1|2009-3-29,(2009-6-23) 童心唱祖国 快乐迎全运 童心唱祖国 快乐迎全运 (2009-6-23) 恐龙故乡的科学探秘（870期） 恐龙故乡的科学探秘（870期） (2009-6-3) “绝地”求生（869期） [LINK] “绝地”求生（869期） (2009-5-26) 征文启事（858期） 征文启事（858期） (2009-4-1) 本期话题讨论 本期话题讨论 (2009-3-29)
2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,870,恐龙故乡的科学探秘（870期）,http://www.qlsn.com/news_view.asp?id=194,2009-6-23|2009-6-3|2009-5-26|2009-4-1,(2009-6-23) 山里娃有了新图书(872期) 山里娃有了新图书(872期) (2009-6-23) 童心唱祖国 快乐迎全运 童心唱祖国 快乐迎全运 (2009-6-23) 恐龙故乡的科学探秘（870期） [LINK] 恐龙故乡的科学探秘（870期） (2009-6-3) “绝地”求生（869期） “绝地”求生（869期） (2009-5-26) 征文启事（858期） 征文启事（858期） (2009-4-1)
2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,872,山里娃有了新图书(872期),http://www.qlsn.com/news_view.asp?id=196,2009-6-23|2009-6-3,尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 33滴“净水剂”（873期） 33滴“净水剂”（873期） (2009-6-23) 山里娃有了新图书(872期) [LINK] 山里娃有了新图书(872期) (2009-6-23) 童心唱祖国 快乐迎全运 童心唱祖国 快乐迎全运 (2009-6-23) 恐龙故乡的科学探秘（870期） 恐龙故乡的科学探秘（870期） (2009-6-3) “绝地”求生（869期）
2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,873,33滴“净水剂”（873期）,http://www.qlsn.com/news_view.asp?id=197,2009-6-23,齐鲁少年留言本 帐 号： 密 码： 尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 33滴“净水剂”（873期） [LINK] 33滴“净水剂”（873期） (2009-6-23) 山里娃有了新图书(872期) 山里娃有了新图书(872期) (2009-6-23) 童心唱祖国 快乐迎全运 童心唱祖国 快乐迎全运 (2009-6-23) 恐龙故乡的科学探秘（870期）
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,895,叽叽喳喳“小八卦”（895期）,http://www.qlsn.com/news_view.asp?id=220,2009-12-14|2009-12-7|2009-11-30|2009-11-23|2009-10-29,(2009-12-14) 她的绰号“智能牛魔王”（897期） 她的绰号“智能牛魔王”（897期） (2009-12-7) “一个”和“一群”，到底谁有理？（8... “一个”和“一群”，到底谁有理？（8... (2009-11-30) 叽叽喳喳“小八卦”（895期） [LINK] 叽叽喳喳“小八卦”（895期） (2009-11-23) 留守孩子，你们安全吗？... 留守孩子，你们安全吗？... (2009-12-7) 你说我说大家说11月话... 你说我说大家说11月话... (2009-10-29)
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,897,她的绰号“智能牛魔王”（897期）,http://www.qlsn.com/news_view.asp?id=223,2009-12-23|2009-12-14|2009-12-7|2009-11-30|2009-11-23,遗忘密码? 贾雯晶的“特殊任务”（899期） 贾雯晶的“特殊任务”（899期） (2009-12-23) “国际儿童墙”上的山东女孩（898期） “国际儿童墙”上的山东女孩（898期） (2009-12-14) 她的绰号“智能牛魔王”（897期） [LINK] 她的绰号“智能牛魔王”（897期） (2009-12-7) “一个”和“一群”，到底谁有理？（8... “一个”和“一群”，到底谁有理？（8... (2009-11-30) 叽叽喳喳“小八卦”（895期） 叽叽喳喳“小八卦”（895期） (2009-11-23)
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,898,“国际儿童墙”上的山东女孩（898期）,http://www.qlsn.com/news_view.asp?id=224,2009-12-23|2009-12-14|2009-12-7|2009-11-30,尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 贾雯晶的“特殊任务”（899期） 贾雯晶的“特殊任务”（899期） (2009-12-23) “国际儿童墙”上的山东女孩（898期） [LINK] “国际儿童墙”上的山东女孩（898期） (2009-12-14) 她的绰号“智能牛魔王”（897期） 她的绰号“智能牛魔王”（897期） (2009-12-7) “一个”和“一群”，到底谁有理？（8... “一个”和“一群”，到底谁有理？（8... (2009-11-30) 叽叽喳喳“小八卦”（895期）
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,烦恼防火墙（899期）,http://www.qlsn.com/article_view.asp?id=831,2009-12-23,小蜘蛛决战大苍蝇（899期） 小蜘蛛决战大苍蝇（899期） 2009-12-23 [ 成长乐园 成长乐园 ] 烦恼防火墙（899期） [LINK] 烦恼防火墙（899期） 2009-12-23 [ 队旗飘飘 队旗飘飘 ] 队旗飘飘（900期） 队旗飘飘（900期） 2009-12-23
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,小蜘蛛决战大苍蝇（899期）,http://www.qlsn.com/article_view.asp?id=832,2009-12-23,别让爱太沉重（899期） 别让爱太沉重（899期） 2009-12-23 [ 习作精选 习作精选 ] 小蜘蛛决战大苍蝇（899期） [LINK] 小蜘蛛决战大苍蝇（899期） 2009-12-23 [ 成长乐园 成长乐园 ] 烦恼防火墙（899期） 烦恼防火墙（899期） 2009-12-23
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,别让爱太沉重（899期）,http://www.qlsn.com/article_view.asp?id=833,2009-12-23,谢谢您，李老师（899期） 谢谢您，李老师（899期） 2009-12-23 [ 习作精选 习作精选 ] 别让爱太沉重（899期） [LINK] 别让爱太沉重（899期） 2009-12-23 [ 习作精选 习作精选 ] 小蜘蛛决战大苍蝇（899期） 小蜘蛛决战大苍蝇（899期） 2009-12-23
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,谢谢您，李老师（899期）,http://www.qlsn.com/article_view.asp?id=834,2009-12-23,种豆芽（899期） 种豆芽（899期） 2009-12-23 [ 习作精选 习作精选 ] 谢谢您，李老师（899期） [LINK] 谢谢您，李老师（899期） 2009-12-23 [ 习作精选 习作精选 ] 别让爱太沉重（899期） 别让爱太沉重（899期） 2009-12-23
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,种豆芽（899期）,http://www.qlsn.com/article_view.asp?id=835,2009-12-23,队旗飘飘 队旗飘飘 ] [ 习作精选 习作精选 ] 种豆芽（899期） [LINK] 种豆芽（899期） 2009-12-23 [ 习作精选 习作精选 ] 谢谢您，李老师（899期） 谢谢您，李老师（899期） 2009-12-23
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,899,贾雯晶的“特殊任务”（899期）,http://www.qlsn.com/news_view.asp?id=225,2009-12-23|2009-12-14|2009-12-7,齐鲁少年留言本 帐 号： 密 码： 尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 贾雯晶的“特殊任务”（899期） [LINK] 贾雯晶的“特殊任务”（899期） (2009-12-23) “国际儿童墙”上的山东女孩（898期） “国际儿童墙”上的山东女孩（898期） (2009-12-14) 她的绰号“智能牛魔王”（897期） 她的绰号“智能牛魔王”（897期） (2009-12-7) “一个”和“一群”，到底谁有理？（8...
2009_dec,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,900,队旗飘飘（900期）,http://www.qlsn.com/article_view.asp?id=830,2009-12-23,烦恼防火墙（899期） 烦恼防火墙（899期） 2009-12-23 [ 队旗飘飘 队旗飘飘 ] 队旗飘飘（900期） [LINK] 队旗飘飘（900期） 2009-12-23 关键字： 类别： 新闻 美文选登 软件下载
